Date,SPY,TLT,VXX
1993-01-29,24.313044,,
1993-02-01,24.485968,,
1993-02-02,24.537828,,
1993-02-03,24.797222,,
1993-02-04,24.900972,,
1993-02-05,24.883686,,
1993-02-08,24.883686,,
1993-02-09,24.710762,,
1993-02-10,24.74535,,
1993-02-11,24.866394,,
1993-02-12,24.676178,,
1993-02-16,24.053644,,
1993-02-17,24.036364,,
1993-02-18,24.019066,,
1993-02-19,24.105526,,
1993-02-22,24.191975,,
1993-02-23,24.174679,,
1993-02-24,24.485968,,
1993-02-25,24.537828,,
1993-02-26,24.572416,,
1993-03-01,24.50326,,
1993-03-02,24.866394,,
1993-03-03,24.970156,,
1993-03-04,24.831808,,
1993-03-05,24.76263,,
1993-03-08,25.316013,,
1993-03-09,25.229536,,
1993-03-10,25.281401,,
1993-03-11,25.212233,,
1993-03-12,24.952852,,
1993-03-15,25.073904,,
1993-03-16,25.073904,,
1993-03-17,24.918274,,
1993-03-18,25.073904,,
1993-03-19,25.035973,,
1993-03-22,24.896952,,
1993-03-23,24.949091,,
1993-03-24,24.949091,,
1993-03-25,25.10545,,
1993-03-26,24.966457,,
1993-03-29,25.070704,,
1993-03-30,25.140198,,
1993-03-31,25.122835,,
1993-04-01,25.035973,,
1993-04-02,24.51473,,
1993-04-05,24.636343,,
1993-04-06,24.566868,,
1993-04-07,24.653728,,
1993-04-08,24.61899,,
1993-04-12,24.966457,,
1993-04-13,25.018576,,
1993-04-14,24.983849,,
1993-04-15,24.983849,,
1993-04-16,24.983849,,
1993-04-19,24.879581,,
1993-04-20,24.757963,,
1993-04-21,24.740602,,
1993-04-22,24.427866,,
1993-04-23,24.323618,,
1993-04-26,24.132505,,
1993-04-27,24.393108,,
1993-04-28,24.340982,,
1993-04-29,24.445244,,
1993-04-30,24.480001,,
1993-05-03,24.636343,,
1993-05-04,24.72323,,
1993-05-05,24.792719,,
1993-05-06,24.705851,,
1993-05-07,24.653728,,
1993-05-10,24.705851,,
1993-05-11,24.810083,,
1993-05-12,24.775331,,
1993-05-13,24.480001,,
1993-05-14,24.462597,,
1993-05-17,24.549484,,
1993-05-18,24.532114,,
1993-05-19,25.035973,,
1993-05-20,25.10545,,
1993-05-21,24.879581,,
1993-05-24,24.983849,,
1993-05-25,25.035973,,
1993-05-26,25.348679,,
1993-05-27,25.261816,,
1993-05-28,25.140198,,
1993-06-01,25.383444,,
1993-06-02,25.348679,,
1993-06-03,25.261816,,
1993-06-04,25.174936,,
1993-06-07,25.088079,,
1993-06-08,24.862223,,
1993-06-09,24.949091,,
1993-06-10,24.966457,,
1993-06-11,25.070704,,
1993-06-14,25.035973,,
1993-06-15,24.983849,,
1993-06-16,25.035973,,
1993-06-17,25.122835,,
1993-06-18,24.915934,,
1993-06-21,24.968433,,
1993-06-22,24.98592,,
1993-06-23,24.758459,,
1993-06-24,25.090899,,
1993-06-25,25.073406,,
1993-06-28,25.353361,,
1993-06-29,25.230892,,
1993-06-30,25.230892,,
1993-07-01,25.160902,,
1993-07-02,25.020933,,
1993-07-06,24.758459,,
1993-07-07,24.828463,,
1993-07-08,25.1084,,
1993-07-09,25.178396,,
1993-07-12,25.160902,,
1993-07-13,25.143406,,
1993-07-14,25.230892,,
1993-07-15,25.12591,,
1993-07-16,25.055914,,
1993-07-19,25.038418,,
1993-07-20,25.1084,,
1993-07-21,25.090899,,
1993-07-22,24.915934,,
1993-07-23,25.038418,,
1993-07-26,25.178396,,
1993-07-27,25.160902,,
1993-07-28,25.1084,,
1993-07-29,25.248373,,
1993-07-30,25.1084,,
1993-08-02,25.178396,,
1993-08-03,25.195887,,
1993-08-04,25.195887,,
1993-08-05,25.143406,,
1993-08-06,25.178396,,
1993-08-09,25.318365,,
1993-08-10,25.300879,,
1993-08-11,25.300879,,
1993-08-12,25.230892,,
1993-08-13,25.265881,,
1993-08-16,25.405855,,
1993-08-17,25.493345,,
1993-08-18,25.633322,,
1993-08-19,25.633322,,
1993-08-20,25.65082,,
1993-08-23,25.598328,,
1993-08-24,25.878275,,
1993-08-25,25.89579,,
1993-08-26,25.913277,,
1993-08-27,25.89579,,
1993-08-30,26.000767,,
1993-08-31,26.070753,,
1993-09-01,26.035759,,
1993-09-02,25.948286,,
1993-09-03,25.965776,,
1993-09-07,25.790792,,
1993-09-08,25.703316,,
1993-09-09,25.755812,,
1993-09-10,25.983274,,
1993-09-13,26.000767,,
1993-09-14,25.89579,,
1993-09-15,25.965776,,
1993-09-16,25.860769,,
1993-09-17,25.81065,,
1993-09-20,25.599358,,
1993-09-21,25.511332,,
1993-09-22,25.72262,,
1993-09-23,25.86347,,
1993-09-24,25.793039,,
1993-09-27,26.074738,,
1993-09-28,26.021904,,
1993-09-29,25.933882,,
1993-09-30,25.881062,,
1993-10-01,26.004314,,
1993-10-04,26.039515,,
1993-10-05,26.004314,,
1993-10-06,25.986702,,
1993-10-07,25.91629,,
1993-10-08,25.951485,,
1993-10-11,26.004314,,
1993-10-12,26.039515,,
1993-10-13,26.039515,,
1993-10-14,26.374043,,
1993-10-15,26.51491,,
1993-10-18,26.444468,,
1993-10-19,26.250795,,
1993-10-20,26.285995,,
1993-10-21,26.250795,,
1993-10-22,26.127565,,
1993-10-25,26.197979,,
1993-10-26,26.18037,,
1993-10-27,26.197979,,
1993-10-28,26.391645,,
1993-10-29,26.391645,,
1993-11-01,26.462057,,
1993-11-02,26.444468,,
1993-11-03,26.109957,,
1993-11-04,25.828247,,
1993-11-05,25.951485,,
1993-11-08,25.986702,,
1993-11-09,26.004314,,
1993-11-10,26.197979,,
1993-11-11,26.127565,,
1993-11-12,26.250795,,
1993-11-15,26.233192,,
1993-11-16,26.356451,,
1993-11-17,26.215578,,
1993-11-18,26.145163,,
1993-11-19,26.09234,,
1993-11-22,25.933882,,
1993-11-23,26.074738,,
1993-11-24,26.18037,,
1993-11-26,26.197979,,
1993-11-29,26.09234,,
1993-11-30,26.109957,,
1993-12-01,26.145163,,
1993-12-02,26.215578,,
1993-12-03,26.32123,,
1993-12-06,26.409237,,
